"","Assemblage","Diversity","Observed","Estimator","s.e.","LCL","UCL"
"207","ÁREA DE PROTEÇÃO AMBIENTAL LAGO DE PALMAS","Simpson diversity",1.96717967735954,1.986011342155,0.201302587576235,1.59146552051086,2.38055716379914
"208","ÁREA DE PROTEÇÃO AMBIENTAL LAGO DE SANTA ISABEL","Species richness",2,2,0.337997668989631,2,2.66246325807817
"209","ÁREA DE PROTEÇÃO AMBIENTAL LAGO DE SANTA ISABEL","Shannon diversity",1.75476535060332,1.87828127423105,0.362349364755207,1.16808956948988,2.58847297897223
"210","ÁREA DE PROTEÇÃO AMBIENTAL LAGO DE SANTA ISABEL","Simpson diversity",1.6,1.75,0.440476971149356,0.886681000527974,2.61331899947203
"211","ÁREA DE PROTEÇÃO AMBIENTAL LAGOA DE ITAPARICA","Species richness",12,18.1538461538462,8.61430943498197,12,35.0375823980944
"212","ÁREA DE PROTEÇÃO AMBIENTAL LAGOA DE ITAPARICA","Shannon diversity",7.0220943802891,8.12116055404607,1.10572760447354,5.95397427256618,10.288346835526
"213","ÁREA DE PROTEÇÃO AMBIENTAL LAGOA DE ITAPARICA","Simpson diversity",5.50847457627119,5.92592592592594,0.674338120868687,4.60424749562089,7.24760435623098
"214","ÁREA DE PROTEÇÃO AMBIENTAL LAJEDÃO","Species richness",3,3,0.510670159687199,3,4.00089512096623
"215","ÁREA DE PROTEÇÃO AMBIENTAL LAJEDÃO","Shannon diversity",2.95115178586752,3.37993724534686,0.487100244224979,2.42523830980524,4.33463618088848
"216","ÁREA DE PROTEÇÃO AMBIENTAL LAJEDÃO","Simpson diversity",2.90909090909091,4,0.732553747948872,2.56422103728038,5.43577896271962
"217","ÁREA DE PROTEÇÃO AMBIENTAL MARGEM ESQUERDA DO RIO NEGRO-SETOR TARUMÃ AÇU-TARUMÃ MIRIMA","Species richness",2,2.33333333333333,0.902820123326997,2,4.10282825957226
"218","ÁREA DE PROTEÇÃO AMBIENTAL MARGEM ESQUERDA DO RIO NEGRO-SETOR TARUMÃ AÇU-TARUMÃ MIRIMA","Shannon diversity",1.88988157484231,2.51984209978993,1.31602185552565,0,5.09919753948778
